gender,course,study_hours,class_attendance,internet_access,sleep_hours,sleep_quality,study_method,facility_rating,exam_difficulty,exam_score,course_diff
other,Bachelor of Science,5.68,40.6,no,5.3,poor,group study,high,moderate,54.8,5
male,Bachelor of Technology,6.16,54.2,no,7.5,good,online videos,high,hard,92.6,6
other,Bachelor of Technology,6.6,79.3,no,9.8,average,group study,medium,easy,79.4,6
female,Diploma,6.01,66.8,yes,9.6,good,coaching,medium,easy,74.4,0
other,Bachelor of Business Administration,7.22,47.0,no,7.2,average,self-study,medium,easy,71.3,3
other,Bachelor of Computer Applications,3.78,43.9,yes,4.6,average,online videos,high,easy,59.4,4
female,Bachelor of Arts,7.63,96.6,yes,4.9,good,online videos,high,hard,90.0,1
other,Bachelor of Computer Applications,3.2,90.9,yes,5.9,average,group study,low,moderate,69.4,4
female,Bachelor of Business Administration,0.56,59.1,no,9.2,average,self-study,high,moderate,36.8,3
female,Bachelor of Science,1.46,78.4,yes,8.8,poor,coaching,low,easy,38.4,5
other,Bachelor of Science,4.47,48.8,yes,9.9,poor,mixed,high,hard,65.9,5
male,Bachelor of Arts,0.12,48.1,yes,7.0,average,group study,medium,moderate,44.0,1
female,Bachelor of Commerce,1.26,60.0,yes,7.5,poor,online videos,high,easy,60.5,2
male,Bachelor of Computer Applications,2.99,56.9,yes,5.9,average,self-study,medium,moderate,32.7,4
female,Bachelor of Commerce,4.99,98.8,no,7.1,poor,self-study,low,easy,59.3,2
other,Bachelor of Commerce,1.32,41.5,yes,8.3,poor,self-study,medium,easy,24.1,2
male,Bachelor of Arts,4.6,72.8,yes,4.2,good,mixed,high,moderate,68.7,1
female,Bachelor of Science,5.31,91.2,yes,9.3,average,online videos,low,easy,76.4,5
female,Diploma,6.11,41.6,yes,7.7,good,mixed,high,moderate,99.1,0
other,Bachelor of Technology,5.28,73.2,yes,5.9,average,mixed,high,moderate,97.8,6
male,Bachelor of Computer Applications,2.0,62.8,yes,5.9,poor,group study,high,moderate,70.8,4
male,Bachelor of Business Administration,7.91,53.0,yes,9.9,good,coaching,low,hard,100.0,3
male,Diploma,7.11,54.1,yes,5.8,average,mixed,low,easy,70.5,0
female,Bachelor of Commerce,2.99,88.9,no,7.4,good,group study,medium,hard,55.1,2
female,Diploma,0.23,67.9,yes,6.2,poor,self-study,medium,easy,19.599,0
other,Diploma,4.23,42.8,yes,7.3,average,online videos,low,moderate,58.2,0
female,Bachelor of Arts,6.92,64.5,yes,6.5,poor,mixed,medium,moderate,74.8,1
male,Bachelor of Science,6.58,89.0,yes,6.9,poor,mixed,high,moderate,100.0,5
other,Bachelor of Science,7.18,81.3,yes,4.5,average,mixed,low,hard,77.1,5
male,Bachelor of Science,7.76,97.3,yes,4.4,poor,online videos,low,moderate,93.4,5
female,Bachelor of Business Administration,5.7,86.4,no,9.1,average,group study,low,moderate,87.5,3
female,Diploma,1.3,50.3,yes,9.1,good,mixed,low,moderate,19.599,0
male,Bachelor of Arts,0.29,44.0,yes,9.9,average,online videos,medium,easy,35.9,1
female,Diploma,1.21,67.8,yes,7.7,poor,self-study,medium,easy,36.3,0
female,Bachelor of Computer Applications,1.61,66.7,yes,5.8,good,self-study,low,easy,29.3,4
other,Bachelor of Business Administration,0.49,72.9,yes,9.3,poor,self-study,low,moderate,54.0,3
male,Bachelor of Computer Applications,3.63,80.3,yes,9.7,good,mixed,low,moderate,76.1,4
other,Diploma,6.27,55.3,yes,5.8,average,self-study,medium,moderate,86.0,0
female,Diploma,0.08,99.3,yes,6.5,poor,mixed,low,moderate,43.4,0
other,Bachelor of Science,6.43,69.7,yes,7.0,good,online videos,low,moderate,78.5,5
male,Bachelor of Business Administration,7.4,82.9,no,6.6,poor,mixed,medium,moderate,86.9,3
male,Bachelor of Arts,1.22,64.5,yes,7.5,good,group study,high,easy,54.1,1
other,Diploma,0.17,81.1,yes,9.4,good,mixed,low,moderate,60.1,0
female,Bachelor of Science,3.83,99.0,yes,9.5,poor,self-study,medium,easy,69.1,5
male,Bachelor of Computer Applications,6.95,49.2,yes,4.6,poor,coaching,high,hard,59.4,4
other,Bachelor of Arts,5.89,66.2,no,8.3,good,online videos,low,easy,92.4,1
male,Diploma,0.28,81.8,yes,4.8,average,self-study,medium,easy,28.6,0
female,Bachelor of Computer Applications,5.39,91.4,yes,6.0,average,mixed,medium,hard,75.0,4
other,Bachelor of Commerce,6.54,78.2,yes,6.4,good,group study,medium,easy,82.4,2
other,Bachelor of Computer Applications,2.17,53.9,yes,9.5,average,group study,high,moderate,35.5,4
other,Bachelor of Science,5.23,78.7,yes,6.2,average,mixed,low,moderate,67.2,5
female,Bachelor of Technology,3.95,77.4,yes,7.6,good,online videos,low,hard,58.0,6
male,Bachelor of Arts,1.65,42.6,yes,7.8,average,online videos,low,hard,37.8,1
male,Bachelor of Commerce,7.21,76.4,yes,6.2,average,mixed,low,easy,91.2,2
other,Bachelor of Technology,1.78,72.0,yes,8.2,poor,mixed,low,moderate,28.9,6
female,Diploma,6.72,57.4,yes,7.2,good,mixed,medium,hard,74.8,0
male,Bachelor of Technology,5.61,54.3,yes,5.9,average,mixed,high,hard,67.5,6
other,Bachelor of Business Administration,1.77,86.1,yes,6.7,poor,online videos,high,moderate,71.6,3
other,Bachelor of Science,5.69,43.9,yes,5.2,poor,online videos,medium,moderate,49.4,5
male,Bachelor of Commerce,0.21,57.1,yes,4.2,poor,self-study,medium,moderate,19.599,2
other,Bachelor of Science,1.89,82.1,yes,6.2,poor,group study,high,moderate,51.0,5
female,Bachelor of Commerce,2.28,52.6,no,9.5,poor,group study,medium,moderate,51.5,2
female,Bachelor of Business Administration,7.11,47.1,yes,6.3,good,group study,low,easy,62.5,3
other,Bachelor of Commerce,7.32,99.0,yes,9.3,average,self-study,medium,moderate,82.2,2
male,Bachelor of Computer Applications,2.17,73.9,yes,4.5,good,coaching,low,moderate,53.4,4
male,Bachelor of Arts,3.8,56.1,yes,6.8,good,coaching,medium,moderate,70.3,1
other,Bachelor of Computer Applications,7.85,49.2,yes,5.8,average,coaching,medium,moderate,77.9,4
female,Bachelor of Arts,5.33,40.6,yes,6.5,good,coaching,medium,easy,82.3,1
male,Bachelor of Commerce,0.56,85.0,yes,8.2,poor,online videos,low,hard,35.0,2
other,Bachelor of Arts,3.13,61.4,yes,5.9,poor,mixed,low,moderate,55.5,1
male,Bachelor of Business Administration,3.37,51.7,yes,4.8,poor,online videos,low,easy,29.8,3
other,Bachelor of Arts,2.45,94.2,yes,4.2,average,self-study,medium,easy,65.6,1
male,Diploma,4.16,81.8,no,5.8,good,online videos,high,easy,60.9,0
female,Bachelor of Arts,5.89,88.6,yes,8.3,good,self-study,medium,moderate,89.2,1
female,Bachelor of Commerce,5.53,79.3,yes,6.8,average,group study,medium,moderate,71.2,2
other,Bachelor of Technology,2.81,95.0,yes,9.9,good,group study,medium,moderate,56.3,6
female,Bachelor of Commerce,5.89,60.7,yes,5.4,average,online videos,high,moderate,75.2,2
other,Bachelor of Technology,4.27,49.4,yes,9.5,average,group study,high,moderate,69.6,6
male,Bachelor of Technology,6.16,40.6,yes,8.9,average,group study,medium,easy,64.4,6
female,Bachelor of Commerce,0.91,42.0,yes,8.7,poor,mixed,high,moderate,45.7,2
other,Bachelor of Commerce,3.24,91.2,no,8.2,good,mixed,high,moderate,86.8,2
male,Diploma,3.16,76.9,yes,4.1,average,online videos,low,moderate,46.3,0
other,Bachelor of Computer Applications,2.81,42.7,yes,8.6,poor,mixed,medium,moderate,41.8,4
other,Bachelor of Computer Applications,5.58,46.4,yes,5.2,poor,group study,high,moderate,70.8,4
other,Bachelor of Arts,4.46,81.8,yes,5.8,average,coaching,high,hard,70.7,1
male,Bachelor of Technology,3.09,63.1,yes,5.3,average,self-study,low,moderate,68.7,6
other,Bachelor of Computer Applications,4.29,86.5,yes,6.6,good,self-study,high,moderate,69.3,4
other,Bachelor of Arts,5.64,96.2,yes,5.3,poor,group study,high,moderate,92.8,1
male,Bachelor of Arts,5.4,85.4,yes,9.1,average,coaching,high,moderate,84.4,1
female,Bachelor of Business Administration,6.09,50.9,yes,8.1,average,mixed,low,hard,57.5,3
male,Bachelor of Science,6.81,79.0,yes,7.9,good,group study,high,moderate,99.3,5
female,Bachelor of Arts,5.92,75.7,yes,8.4,average,group study,high,moderate,76.6,1
male,Bachelor of Business Administration,1.44,90.9,no,5.9,good,coaching,low,moderate,35.9,3
female,Bachelor of Business Administration,6.77,52.0,no,7.3,poor,self-study,medium,moderate,74.6,3
female,Bachelor of Arts,2.66,83.1,yes,7.9,poor,coaching,low,moderate,63.7,1
female,Diploma,5.33,76.0,yes,7.4,poor,group study,low,moderate,45.2,0
other,Diploma,7.91,68.7,yes,7.5,average,online videos,medium,moderate,71.6,0
other,Bachelor of Technology,2.36,57.5,no,4.4,average,coaching,low,hard,45.7,6
male,Bachelor of Technology,2.16,41.6,yes,6.7,poor,mixed,high,hard,37.3,6
male,Bachelor of Arts,1.46,88.3,yes,7.5,poor,mixed,high,easy,65.8,1
male,Bachelor of Computer Applications,7.87,46.4,yes,4.7,poor,group study,low,moderate,68.9,4
other,Bachelor of Arts,3.42,62.6,yes,5.1,poor,online videos,medium,moderate,42.2,1
male,Bachelor of Science,6.27,69.8,yes,7.4,average,online videos,medium,moderate,63.2,5
male,Bachelor of Arts,0.39,59.8,yes,5.0,good,mixed,medium,hard,26.8,1
male,Diploma,1.44,79.7,yes,7.1,poor,self-study,medium,easy,51.0,0
other,Bachelor of Science,0.51,59.7,yes,5.3,poor,self-study,low,moderate,19.599,5
female,Bachelor of Arts,6.53,71.0,yes,5.1,poor,online videos,low,moderate,61.5,1
other,Bachelor of Business Administration,0.85,45.7,yes,8.8,poor,coaching,high,hard,42.7,3
male,Bachelor of Commerce,7.39,66.1,yes,8.9,average,self-study,high,easy,71.1,2
female,Bachelor of Technology,5.31,75.0,yes,6.0,average,mixed,medium,easy,75.0,6
female,Bachelor of Business Administration,7.28,91.7,yes,5.9,good,coaching,high,easy,100.0,3
male,Bachelor of Computer Applications,3.27,50.9,yes,6.5,good,coaching,medium,easy,61.8,4
other,Bachelor of Business Administration,4.21,60.3,yes,5.2,good,coaching,medium,easy,56.1,3
other,Bachelor of Business Administration,0.22,55.6,no,7.3,average,self-study,low,moderate,35.4,3
male,Bachelor of Business Administration,3.73,49.2,yes,9.8,good,group study,low,moderate,50.5,3
other,Bachelor of Commerce,4.73,63.1,yes,8.6,good,coaching,low,easy,65.2,2
female,Bachelor of Technology,0.8,94.5,yes,5.7,good,coaching,high,easy,87.0,6
female,Diploma,7.85,62.4,yes,6.1,good,self-study,low,hard,61.1,0
other,Bachelor of Science,0.08,56.3,yes,5.2,good,self-study,low,easy,19.599,5
female,Bachelor of Computer Applications,2.14,97.5,yes,8.2,average,coaching,low,moderate,68.8,4
male,Bachelor of Arts,4.92,82.9,no,6.0,good,mixed,low,moderate,72.0,1
other,Bachelor of Arts,3.98,62.2,yes,9.3,average,coaching,low,moderate,67.8,1
other,Bachelor of Technology,1.91,85.0,yes,8.3,poor,group study,low,easy,48.7,6
male,Diploma,7.89,78.3,no,6.2,good,mixed,medium,moderate,92.6,0
other,Bachelor of Arts,1.51,91.3,yes,6.3,good,mixed,low,moderate,67.2,1
female,Bachelor of Computer Applications,4.55,46.7,yes,4.8,good,coaching,low,hard,70.2,4
male,Bachelor of Computer Applications,0.93,72.4,yes,6.8,poor,mixed,low,moderate,35.1,4
female,Bachelor of Technology,0.45,82.1,yes,9.6,average,coaching,high,moderate,57.5,6
other,Diploma,3.9,99.4,yes,7.8,average,self-study,high,moderate,77.2,0
male,Bachelor of Business Administration,6.44,76.1,yes,6.9,good,group study,medium,moderate,80.9,3
other,Bachelor of Science,4.25,48.4,yes,6.4,poor,coaching,low,easy,66.2,5
other,Bachelor of Business Administration,2.35,98.3,yes,7.7,average,group study,medium,hard,71.7,3
other,Bachelor of Business Administration,0.13,67.5,no,9.4,good,self-study,low,moderate,45.0,3
male,Bachelor of Business Administration,7.52,69.3,yes,6.4,average,mixed,high,easy,100.0,3
male,Bachelor of Commerce,1.7,55.2,yes,7.7,average,online videos,low,moderate,43.6,2
other,Diploma,4.6,88.8,yes,9.9,average,coaching,medium,easy,85.0,0
female,Bachelor of Science,0.12,71.8,yes,7.6,average,coaching,high,moderate,51.2,5
female,Bachelor of Arts,0.78,98.4,yes,8.2,good,mixed,medium,easy,63.5,1
female,Bachelor of Computer Applications,1.36,71.1,no,9.3,good,group study,medium,easy,69.5,4
female,Bachelor of Technology,0.9,50.8,no,6.7,average,coaching,low,moderate,42.5,6
female,Bachelor of Commerce,4.25,86.2,yes,4.4,average,group study,high,easy,55.3,2
female,Bachelor of Arts,3.18,48.9,no,6.6,average,online videos,medium,moderate,40.5,1
female,Bachelor of Computer Applications,6.41,57.0,yes,4.8,average,coaching,high,moderate,89.5,4
female,Bachelor of Computer Applications,0.93,96.4,yes,9.3,poor,mixed,low,hard,42.1,4
female,Bachelor of Computer Applications,3.45,98.6,no,8.8,poor,coaching,low,moderate,71.8,4
other,Bachelor of Commerce,3.43,86.6,yes,8.6,good,mixed,high,easy,83.9,2
female,Bachelor of Arts,1.85,52.4,yes,6.5,poor,mixed,low,hard,37.3,1
other,Bachelor of Technology,0.77,84.5,yes,8.5,good,online videos,high,moderate,55.9,6
female,Bachelor of Computer Applications,0.09,75.6,yes,7.5,average,self-study,high,moderate,33.1,4
other,Bachelor of Commerce,0.15,66.8,yes,4.6,average,coaching,high,moderate,52.2,2
female,Bachelor of Arts,3.19,66.8,yes,4.9,poor,online videos,low,hard,31.7,1
female,Bachelor of Business Administration,0.43,67.2,no,9.0,average,self-study,high,easy,48.3,3
male,Bachelor of Computer Applications,3.16,59.3,yes,9.3,average,self-study,medium,easy,33.6,4
male,Bachelor of Technology,3.5,72.3,no,7.9,good,mixed,high,hard,64.4,6
other,Bachelor of Computer Applications,3.56,42.2,yes,5.5,good,mixed,medium,moderate,55.0,4
male,Bachelor of Commerce,1.53,90.9,no,9.4,poor,self-study,high,easy,53.1,2
male,Bachelor of Commerce,3.99,93.8,yes,9.3,good,self-study,medium,moderate,83.1,2
other,Bachelor of Technology,3.14,63.4,yes,8.2,average,group study,medium,moderate,36.7,6
other,Bachelor of Computer Applications,7.91,96.9,no,8.6,poor,self-study,high,easy,85.5,4
female,Bachelor of Arts,0.36,86.6,yes,4.7,average,online videos,high,easy,34.1,1
female,Bachelor of Technology,0.43,90.9,yes,8.5,good,online videos,high,moderate,67.7,6
female,Bachelor of Technology,6.6,93.5,yes,9.3,poor,coaching,high,moderate,86.5,6
other,Bachelor of Computer Applications,2.13,60.4,yes,8.1,average,self-study,medium,hard,44.1,4
female,Bachelor of Technology,1.47,88.8,yes,9.6,poor,self-study,medium,easy,51.2,6
male,Bachelor of Arts,7.0,48.7,yes,4.5,good,self-study,low,moderate,60.9,1
female,Bachelor of Business Administration,4.26,98.6,yes,4.9,good,self-study,high,moderate,81.6,3
male,Diploma,4.93,75.7,yes,9.9,poor,group study,high,hard,65.8,0
other,Bachelor of Science,0.08,81.6,yes,9.3,average,online videos,high,moderate,29.9,5
male,Bachelor of Commerce,2.09,58.4,yes,5.6,good,group study,high,moderate,42.6,2
female,Bachelor of Science,2.07,41.9,no,9.6,good,coaching,low,hard,33.9,5
male,Diploma,6.09,49.8,yes,4.3,poor,self-study,low,hard,52.8,0
other,Bachelor of Business Administration,3.08,48.5,yes,6.7,average,coaching,high,moderate,58.2,3
female,Diploma,4.62,66.5,yes,5.2,poor,group study,low,easy,49.0,0
male,Bachelor of Technology,7.46,57.6,yes,9.5,poor,self-study,medium,easy,79.3,6
other,Bachelor of Business Administration,7.88,96.7,yes,9.9,poor,group study,high,hard,100.0,3
female,Bachelor of Technology,1.02,90.5,no,4.7,average,self-study,low,moderate,30.8,6
female,Bachelor of Technology,4.45,72.4,yes,9.3,average,self-study,medium,moderate,69.1,6
male,Bachelor of Arts,5.59,91.1,yes,4.4,average,group study,medium,easy,63.3,1
male,Bachelor of Commerce,6.26,75.1,yes,9.6,average,online videos,medium,moderate,63.1,2
other,Bachelor of Commerce,7.36,95.2,yes,9.5,average,self-study,high,hard,100.0,2
female,Bachelor of Technology,5.83,84.7,yes,8.8,poor,mixed,medium,easy,76.5,6
female,Bachelor of Arts,5.52,84.1,yes,4.2,average,online videos,medium,easy,74.8,1
other,Bachelor of Commerce,0.43,56.5,yes,5.6,poor,coaching,low,hard,19.6,2
female,Diploma,4.36,87.7,yes,7.2,poor,self-study,high,easy,70.2,0
female,Bachelor of Computer Applications,4.79,86.3,yes,6.7,poor,mixed,high,hard,70.5,4
other,Bachelor of Arts,5.57,44.9,yes,6.6,average,online videos,medium,moderate,59.4,1
male,Bachelor of Computer Applications,4.67,43.5,no,8.1,good,self-study,high,hard,80.6,4
female,Bachelor of Business Administration,3.28,92.9,yes,4.9,average,group study,low,moderate,38.7,3
other,Bachelor of Arts,3.9,98.7,yes,7.8,average,self-study,medium,moderate,75.2,1
male,Diploma,7.74,76.3,yes,4.9,poor,coaching,low,moderate,93.1,0
male,Bachelor of Business Administration,2.63,50.2,yes,5.6,good,coaching,high,easy,65.7,3
female,Bachelor of Arts,6.28,65.3,yes,7.5,poor,group study,low,moderate,75.3,1
male,Bachelor of Arts,4.86,41.3,yes,8.1,poor,online videos,medium,easy,43.8,1
male,Bachelor of Computer Applications,3.55,89.3,yes,5.4,average,self-study,low,hard,56.3,4
male,Bachelor of Computer Applications,3.31,46.2,yes,5.9,good,self-study,medium,moderate,58.3,4
other,Bachelor of Arts,4.3,60.1,no,8.6,average,mixed,low,easy,54.8,1
male,Bachelor of Science,6.4,73.8,yes,7.5,good,group study,high,moderate,71.8,5
other,Bachelor of Business Administration,0.98,81.9,yes,5.9,average,coaching,low,hard,72.9,3
female,Bachelor of Arts,7.29,94.4,yes,7.3,poor,group study,medium,moderate,91.4,1
other,Diploma,6.19,65.3,yes,4.8,good,online videos,low,moderate,76.7,0
male,Diploma,2.79,51.5,yes,6.5,average,coaching,medium,moderate,54.8,0
other,Bachelor of Technology,0.08,46.5,yes,8.7,good,group study,medium,hard,42.8,6
female,Diploma,0.84,79.5,yes,9.3,good,self-study,low,easy,43.0,0
other,Diploma,1.16,47.7,yes,4.1,average,self-study,medium,easy,30.8,0
other,Diploma,0.83,79.5,yes,8.2,good,online videos,high,easy,57.0,0
female,Bachelor of Arts,0.82,67.4,yes,4.1,good,mixed,medium,moderate,48.7,1
other,Bachelor of Science,7.68,65.0,yes,8.5,average,group study,medium,easy,79.6,5
male,Bachelor of Business Administration,5.27,55.7,yes,9.1,poor,coaching,low,moderate,62.9,3
female,Diploma,6.57,94.1,yes,9.5,poor,online videos,low,moderate,85.4,0
female,Bachelor of Arts,4.5,83.0,yes,4.6,poor,self-study,high,moderate,65.2,1
other,Diploma,4.96,71.5,yes,4.1,average,coaching,high,moderate,83.8,0
other,Bachelor of Science,7.05,65.4,yes,6.2,poor,mixed,low,easy,58.7,5
other,Bachelor of Computer Applications,2.1,61.6,yes,5.5,poor,coaching,low,easy,49.9,4
other,Bachelor of Technology,5.56,63.9,yes,6.5,good,online videos,medium,moderate,61.8,6
other,Bachelor of Computer Applications,7.19,91.2,yes,5.0,good,self-study,medium,easy,100.0,4
other,Diploma,7.49,65.3,yes,8.6,good,online videos,medium,easy,87.4,0
female,Bachelor of Business Administration,3.55,40.6,yes,7.9,average,coaching,low,hard,52.8,3
male,Bachelor of Business Administration,6.85,95.4,yes,6.4,poor,online videos,low,moderate,78.1,3
other,Bachelor of Commerce,4.03,75.6,yes,8.2,poor,group study,medium,moderate,63.8,2
male,Diploma,2.06,49.9,yes,6.1,average,coaching,low,hard,54.2,0
male,Bachelor of Technology,2.01,47.6,yes,7.4,good,coaching,high,moderate,71.1,6
other,Bachelor of Commerce,3.61,62.6,yes,6.7,average,mixed,medium,easy,41.5,2
male,Bachelor of Technology,2.06,76.7,yes,6.0,poor,online videos,medium,hard,41.9,6
male,Bachelor of Science,0.24,96.4,yes,4.3,good,coaching,medium,moderate,51.9,5
female,Bachelor of Arts,0.84,43.3,yes,5.9,good,self-study,low,easy,23.1,1
female,Bachelor of Commerce,6.79,61.2,yes,6.8,poor,online videos,high,moderate,59.7,2
male,Bachelor of Commerce,7.06,55.4,yes,5.8,good,group study,high,easy,81.9,2
female,Bachelor of Science,6.98,65.3,yes,9.8,average,mixed,high,hard,76.1,5
male,Bachelor of Commerce,4.43,87.5,yes,5.1,poor,mixed,low,easy,70.4,2
male,Bachelor of Arts,7.48,49.5,yes,6.3,good,coaching,low,easy,75.3,1
male,Bachelor of Science,3.99,96.1,yes,8.1,average,mixed,medium,moderate,78.7,5
other,Diploma,3.7,55.4,yes,5.6,poor,coaching,medium,easy,47.2,0
female,Diploma,3.8,85.2,yes,7.0,average,self-study,high,moderate,58.8,0
other,Diploma,2.03,78.4,yes,8.3,poor,self-study,high,easy,47.2,0
male,Bachelor of Technology,4.91,72.9,yes,9.8,average,group study,medium,easy,62.0,6
other,Bachelor of Arts,3.59,90.6,no,7.2,poor,online videos,medium,moderate,71.0,1
other,Bachelor of Computer Applications,7.8,76.4,yes,8.4,average,group study,high,hard,95.3,4
female,Bachelor of Commerce,1.38,86.9,no,8.8,good,group study,high,moderate,70.4,2
other,Bachelor of Science,0.61,75.3,yes,6.1,poor,coaching,low,easy,36.8,5
female,Bachelor of Business Administration,2.81,83.2,yes,6.7,poor,mixed,low,hard,62.7,3
female,Bachelor of Technology,1.72,42.8,yes,9.2,average,online videos,low,hard,41.7,6
other,Bachelor of Business Administration,7.91,78.7,yes,7.8,poor,mixed,medium,hard,78.2,3
female,Bachelor of Arts,4.47,93.3,yes,4.1,good,mixed,medium,moderate,77.0,1
female,Bachelor of Business Administration,2.88,79.0,yes,9.4,poor,group study,low,moderate,59.5,3
other,Bachelor of Business Administration,5.14,89.1,yes,6.4,good,group study,high,moderate,78.0,3
female,Bachelor of Arts,3.62,99.4,yes,8.3,good,coaching,medium,hard,91.2,1
male,Bachelor of Business Administration,1.67,49.4,yes,6.1,average,self-study,low,moderate,19.599,3
other,Bachelor of Technology,3.16,81.3,no,7.2,average,group study,medium,moderate,58.9,6
other,Diploma,2.29,93.8,yes,6.9,poor,mixed,high,easy,56.9,0
male,Bachelor of Technology,5.1,41.7,yes,4.4,poor,online videos,medium,moderate,62.3,6
other,Diploma,6.53,50.4,yes,6.4,good,online videos,low,moderate,59.4,0
male,Diploma,2.1,55.0,yes,5.5,good,mixed,medium,hard,51.0,0
male,Bachelor of Computer Applications,4.97,92.8,yes,7.6,poor,coaching,medium,moderate,92.7,4
other,Bachelor of Computer Applications,5.67,98.6,yes,9.8,poor,self-study,high,easy,84.8,4
female,Bachelor of Technology,2.96,94.8,yes,8.7,average,online videos,high,easy,60.6,6
female,Diploma,3.9,68.4,no,9.5,poor,group study,medium,moderate,66.1,0
female,Bachelor of Arts,2.87,80.1,yes,7.0,good,self-study,low,easy,75.4,1
male,Bachelor of Commerce,2.98,46.2,yes,4.3,average,online videos,high,moderate,46.4,2
other,Bachelor of Business Administration,3.57,98.7,yes,5.5,poor,mixed,high,easy,84.7,3
male,Bachelor of Arts,2.36,96.6,yes,6.9,good,self-study,high,moderate,73.1,1
other,Bachelor of Commerce,3.91,75.8,yes,6.2,poor,coaching,high,easy,88.1,2
other,Bachelor of Commerce,6.02,48.6,yes,6.8,good,online videos,medium,hard,75.0,2
male,Bachelor of Technology,3.15,96.8,yes,9.2,good,coaching,high,moderate,100.0,6
female,Diploma,7.56,93.7,yes,4.1,good,mixed,medium,hard,90.5,0
male,Bachelor of Business Administration,1.74,99.4,yes,5.3,good,group study,high,hard,66.1,3
female,Bachelor of Commerce,3.6,70.5,no,9.8,average,coaching,high,moderate,65.4,2
female,Bachelor of Computer Applications,4.81,60.9,yes,7.6,average,online videos,medium,moderate,70.6,4
male,Bachelor of Business Administration,4.35,62.6,yes,6.2,average,self-study,medium,hard,59.7,3
other,Bachelor of Technology,7.58,69.8,no,5.2,poor,self-study,high,easy,83.9,6
other,Bachelor of Science,2.59,94.7,yes,6.6,good,group study,low,moderate,67.3,5
male,Bachelor of Science,3.02,47.7,no,8.9,average,online videos,high,moderate,58.3,5
other,Bachelor of Technology,4.77,78.9,yes,9.9,good,self-study,medium,moderate,84.9,6
other,Bachelor of Computer Applications,4.77,94.9,yes,5.6,poor,mixed,high,easy,84.3,4
female,Bachelor of Science,6.3,56.4,yes,8.8,average,mixed,low,moderate,76.3,5
other,Bachelor of Computer Applications,6.36,71.5,yes,4.2,good,self-study,medium,hard,77.6,4
male,Bachelor of Arts,0.09,87.7,yes,8.5,good,coaching,medium,easy,51.2,1
other,Bachelor of Technology,6.11,70.9,yes,9.1,good,mixed,high,easy,100.0,6
other,Bachelor of Computer Applications,5.74,71.6,no,5.8,good,online videos,high,hard,69.9,4
female,Bachelor of Science,4.69,86.0,yes,8.2,poor,coaching,medium,easy,73.8,5
other,Diploma,2.54,49.9,yes,9.8,good,coaching,low,moderate,59.3,0
other,Bachelor of Technology,7.26,82.9,yes,8.0,average,online videos,medium,easy,72.7,6
other,Bachelor of Business Administration,5.91,94.8,no,7.6,average,mixed,low,moderate,68.9,3
female,Bachelor of Commerce,2.06,46.1,yes,4.5,good,mixed,medium,moderate,38.1,2
other,Bachelor of Arts,2.44,43.6,yes,5.3,poor,mixed,low,moderate,39.1,1
female,Bachelor of Computer Applications,5.68,45.2,yes,5.6,poor,coaching,low,hard,63.0,4
female,Bachelor of Computer Applications,7.34,84.1,yes,5.0,poor,coaching,low,easy,76.6,4
male,Bachelor of Science,3.92,63.5,no,4.6,good,online videos,high,moderate,76.4,5
male,Bachelor of Technology,7.03,67.9,yes,9.3,average,self-study,low,moderate,72.3,6
other,Bachelor of Science,3.06,83.7,yes,5.2,good,coaching,low,hard,82.1,5
female,Bachelor of Computer Applications,3.16,71.4,yes,9.2,poor,online videos,high,easy,55.1,4
female,Bachelor of Arts,5.49,76.0,yes,9.6,good,mixed,medium,moderate,77.4,1
other,Bachelor of Computer Applications,0.4,91.0,no,6.5,good,online videos,low,moderate,72.7,4
male,Bachelor of Arts,1.11,67.1,yes,5.7,average,group study,high,easy,24.5,1
male,Bachelor of Arts,5.83,92.5,no,8.8,good,coaching,high,moderate,100.0,1
male,Bachelor of Technology,1.94,71.4,yes,9.9,average,self-study,medium,easy,44.1,6
male,Bachelor of Technology,1.4,64.1,no,4.9,poor,self-study,medium,moderate,21.2,6
female,Bachelor of Business Administration,0.71,55.7,yes,6.0,average,coaching,low,easy,38.5,3
other,Bachelor of Science,1.8,83.8,yes,8.6,good,mixed,low,moderate,75.1,5
male,Bachelor of Commerce,2.0,77.3,yes,4.1,good,mixed,high,easy,64.9,2
female,Bachelor of Commerce,2.73,88.5,yes,6.3,poor,self-study,low,moderate,32.1,2
male,Bachelor of Business Administration,7.51,72.8,no,4.7,poor,coaching,high,easy,75.0,3
other,Diploma,5.16,92.0,no,8.9,average,group study,medium,easy,73.2,0
female,Bachelor of Computer Applications,5.55,57.2,yes,5.6,good,online videos,high,easy,62.3,4
male,Bachelor of Business Administration,1.06,83.8,yes,7.7,poor,online videos,high,easy,61.3,3
female,Bachelor of Computer Applications,1.54,63.6,yes,7.4,good,mixed,high,moderate,62.3,4
female,Bachelor of Arts,7.19,46.8,yes,9.6,poor,coaching,medium,moderate,74.3,1
other,Bachelor of Science,5.07,71.7,yes,4.5,average,online videos,medium,hard,62.8,5
male,Bachelor of Arts,6.48,53.9,no,6.9,good,mixed,high,moderate,72.9,1
other,Diploma,2.86,43.7,yes,9.4,poor,self-study,medium,hard,36.4,0
other,Bachelor of Computer Applications,4.62,61.8,yes,7.2,poor,mixed,low,moderate,44.2,4
